,last_name,full_name,type,state,district
331,Davids,Sharice Davids,rep,KS,3.0
332,Trahan,Lori Trahan,rep,MA,3.0
333,Pressley,Ayanna Pressley,rep,MA,7.0
334,Trone,David J. Trone,rep,MD,6.0
335,Slotkin,Elissa Slotkin,rep,MI,7.0
336,Stevens,Haley M. Stevens,rep,MI,11.0
337,Tlaib,Rashida Tlaib,rep,MI,12.0
338,Craig,Angie Craig,rep,MN,2.0
339,Phillips,Dean Phillips,rep,MN,3.0
340,Omar,Ilhan Omar,rep,MN,5.0
341,Stauber,Pete Stauber,rep,MN,8.0
342,Guest,Michael Guest,rep,MS,3.0
343,Armstrong,Kelly Armstrong,rep,ND,0.0
344,Pappas,Chris Pappas,rep,NH,1.0
345,Van Drew,Jefferson Van Drew,rep,NJ,2.0
346,Kim,Andy Kim,rep,NJ,3.0
347,Sherrill,Mikie Sherrill,rep,NJ,11.0
348,Lee,Susie Lee,rep,NV,3.0
349,Ocasio-Cortez,Alexandria Ocasio-Cortez,rep,NY,14.0
350,Dean,Madeleine Dean,rep,PA,4.0
351,Houlahan,Chrissy Houlahan,rep,PA,6.0
352,Meuser,Daniel Meuser,rep,PA,9.0
353,Joyce,John Joyce,rep,PA,13.0
354,Reschenthaler,Guy Reschenthaler,rep,PA,14.0
355,Timmons,William R. Timmons IV,rep,SC,4.0
356,Johnson,Dusty Johnson,rep,SD,0.0
357,Burchett,Tim Burchett,rep,TN,2.0
358,Rose,John W. Rose,rep,TN,6.0
359,Green,Mark E. Green,rep,TN,7.0
360,Crenshaw,Dan Crenshaw,rep,TX,2.0
361,Gooden,Lance Gooden,rep,TX,5.0
362,Fletcher,Lizzie Fletcher,rep,TX,7.0
363,Escobar,Veronica Escobar,rep,TX,16.0
364,Roy,Chip Roy,rep,TX,21.0
365,Garcia,Sylvia R. Garcia,rep,TX,29.0
366,Allred,Colin Z. Allred,rep,TX,32.0
367,Cline,Ben Cline,rep,VA,6.0
368,Spanberger,Abigail Davis Spanberger,rep,VA,7.0
369,Wexton,Jennifer Wexton,rep,VA,10.0
370,Schrier,Kim Schrier,rep,WA,8.0
371,Steil,Bryan Steil,rep,WI,1.0
372,Miller,Carol D. Miller,rep,WV,1.0
373,Scott,Rick Scott,sen,FL,
374,Braun,Mike Braun,sen,IN,
375,Hawley,Josh Hawley,sen,MO,
376,Romney,Mitt Romney,sen,UT,
377,Golden,Jared F. Golden,rep,ME,2.0
378,Bishop,Dan Bishop,rep,NC,8.0
379,Murphy,Gregory F. Murphy,rep,NC,3.0
380,Mfume,Kweisi Mfume,rep,MD,7.0
381,Tiffany,Thomas P. Tiffany,rep,WI,7.0
382,Garcia,Mike Garcia,rep,CA,27.0
383,Kelly,Mark Kelly,sen,AZ,
384,Lummis,Cynthia M. Lummis,sen,WY,
385,Issa,Darrell Issa,rep,CA,48.0
386,Sessions,Pete Sessions,rep,TX,17.0
387,Valadao,David G. Valadao,rep,CA,22.0
388,Tuberville,Tommy Tuberville,sen,AL,
