id,vote,name,party, 404, 405, 544, 549, and 550.
146,8,Aye,Rep. Hakeem Jeffries [D],Democrat,,,,
147,2,No,Rep. Brad Wenstrup [R],Republican,,,,
148,3,Aye,Rep. Joyce Beatty [D],Democrat,,,,
149,14,No,Rep. David Joyce [R],Republican,,,,
150,10,No,Rep. Scott Perry [R],Republican,,,,
151,8,Aye,Rep. Matthew “Matt” Cartwright [D],Democrat,,,,
152,14,No,Rep. Randy Weber [R],Republican,,,,
153,20,Aye,Rep. Joaquin Castro [D],Democrat,,,,
154,25,No,Rep. Roger Williams [R],Republican,,,,
155,33,Aye,Rep. Marc Veasey [D],Democrat,,,,
156,6,Aye,Rep. Derek Kilmer [D],Democrat,,,,
157,2,Aye,Rep. Mark Pocan [D],Democrat,,,,
158,2,Aye,Rep. Robin Kelly [D],Democrat,,,,
159,8,No,Rep. Jason Smith [R],Republican,,,,
160,5,Aye,Rep. Katherine Clark [D],Democrat,,,,
161,1,Aye,Rep. Donald Norcross [D],Democrat,,,,
162,12,Aye,Rep. Alma Adams [D],Democrat,,,,
163,6,No,Rep. Gary Palmer [R],Republican,,,,
164,2,No,Rep. French Hill [R],Republican,,,,
165,4,No,Rep. Bruce Westerman [R],Republican,,,,
166,3,Aye,Rep. Ruben Gallego [D],Democrat,,,,
167,10,Aye,Rep. Mark DeSaulnier [D],Democrat,,,,
168,33,Aye,Rep. Pete Aguilar [D],Democrat,,,,
169,36,Aye,Rep. Ted Lieu [D],Democrat,,,,
170,35,Aye,Rep. Norma Torres [D],Democrat,,,,
171,4,No,Rep. Ken Buck [R],Republican,,,,
172,1,No,Rep. Earl “Buddy” Carter [R],Republican,,,,
173,11,No,Rep. Barry Loudermilk [R],Republican,,,,
174,12,No,Rep. Rick Allen [R],Republican,,,,
175,12,No,Rep. Mike Bost [R],Republican,,,,
176,6,No,Rep. Garret Graves [R],Republican,,,,
177,6,Aye,Rep. Seth Moulton [D],Democrat,,,,
178,2,No,Rep. John Moolenaar [R],Republican,,,,
179,6,Aye,Rep. Debbie Dingell [D],Democrat,,,,
180,6,No,Rep. Tom Emmer [R],Republican,,,,
181,1,No,Rep. Ryan Zinke [R],Republican,,,,
182,7,No,Rep. David Rouzer [R],Republican,,,,
183,12,Aye,Rep. Bonnie Watson Coleman [D],Democrat,,,,
184,21,No,Rep. Elise Stefanik [R],Republican,,,,
185,2,Aye,Rep. Brendan Boyle [D],Democrat,,,,
186,36,No,Rep. Brian Babin [R],Republican,,,,
187,8,Aye,Rep. Donald Beyer [D],Democrat,,,,
188,0,Aye,Rep. Stacey Plaskett [D],Democrat,,,,
189,4,No,Rep. Dan Newhouse [R],Republican,,,,
190,6,No,Rep. Glenn Grothman [R],Republican,,,,
191,2,No,Rep. Alexander Mooney [R],Republican,,,,
192,0,Not Voting,Rep. Aumua Amata Radewagen [R],Republican,,,,
193,1,No,Rep. Trent Kelly [R],Republican,,,,
194,16,No,Rep. Darin LaHood [R],Republican,,,,
195,8,No,Rep. Warren Davidson [R],Republican,,,,
196,1,No,Rep. James Comer [R],Republican,,,,
197,3,Aye,Rep. Dwight Evans [D],Democrat,,,,
198,5,No,Rep. Andy Biggs [R],Republican,,,,
199,17,Aye,Rep. Ro Khanna [D],Democrat,,,,
200,19,Aye,Rep. Jimmy Panetta [D],Democrat,,,,
201,24,Aye,Rep. Salud Carbajal [D],Democrat,,,,
202,44,Aye,Rep. Nanette Barragán [D],Democrat,,,,
203,46,Aye,Rep. Luis Correa [D],Democrat,,,,
204,0,Aye,Rep. Lisa Blunt Rochester [D],Democrat,,,,
205,1,No,Rep. Matt Gaetz [R],Republican,,,,
206,2,No,Rep. Neal Dunn [R],Republican,,,,
207,5,No,Rep. John Rutherford [R],Republican,,,,
208,9,Aye,Rep. Darren Soto [D],Democrat,,,,
209,21,No,Rep. Brian Mast [R],Republican,,,,
210,3,No,Rep. Drew Ferguson [R],Republican,,,,
211,8,Aye,Rep. Raja Krishnamoorthi [D],Democrat,,,,
212,3,No,Rep. Jim Banks [R],Republican,,,,
213,3,No,Rep. Clay Higgins [R],Republican,,,,
214,4,No,Rep. Mike Johnson [R],Republican,,,,
215,8,Aye,Rep. Jamie Raskin [D],Democrat,,,,
216,1,No,Rep. Jack Bergman [R],Republican,,,,
217,2,No,Rep. Don Bacon [R],Republican,,,,
218,5,Aye,Rep. Josh Gottheimer [D],Democrat,,,,
219,13,Aye,Rep. Adriano Espaillat [D],Democrat,,,,
220,24,No,Rep. Claudia Tenney [R],Republican,,,,
221,1,No,Rep. Brian Fitzpatrick [R],Republican,,,,
222,11,No,Rep. Lloyd Smucker [R],Republican,,,,
223,0,No,Commish. Jenniffer González-Colón [R],Republican,,,,
224,8,No,Rep. David Kustoff [R],Republican,,,,
225,34,Aye,Rep. Vicente Gonzalez [D],Democrat,,,,
226,19,No,Rep. Jodey Arrington [R],Republican,,,,
227,7,Aye,Rep. Pramila Jayapal [D],Democrat,,,,
228,8,No,Rep. Mike Gallagher [R],Republican,,,,
229,4,No,Rep. Ron Estes [R],Republican,,,,
230,5,No,Rep. Ralph Norman [R],Republican,,,,
231,34,Aye,Rep. Jimmy Gomez [D],Democrat,,,,
232,3,No,Rep. John Curtis [R],Republican,,,,
233,8,No,Rep. Debbie Lesko [R],Republican,,,,
234,27,No,Rep. Michael Cloud [R],Republican,,,,
235,12,No,Rep. Troy Balderson [R],Republican,,,,
236,1,No,Rep. Kevin Hern [R],Republican,,,,
237,25,Aye,Rep. Joseph Morelle [D],Democrat,,,,
238,5,Aye,Rep. Mary Gay Scanlon [D],Democrat,,,,
239,7,Aye,Rep. Susan Wild [D],Democrat,,,,
240,4,Aye,Rep. Greg Stanton [D],Democrat,,,,
241,9,Aye,Rep. Josh Harder [D],Democrat,,,,
242,47,Aye,Rep. Katie Porter [D],Democrat,,,,
243,49,Aye,Rep. Mike Levin [D],Democrat,,,,
244,2,Aye,Rep. Joe Neguse [D],Democrat,,,,
245,6,Aye,Rep. Jason Crow [D],Democrat,,,,
246,5,Aye,Rep. Jahana Hayes [D],Democrat,,,,
247,6,No,Rep. Michael Waltz [R],Republican,,,,
248,17,No,Rep. Gregory Steube [R],Republican,,,,
249,7,Aye,Rep. Lucy McBath [D],Democrat,,,,
250,1,No,Rep. Russ Fulcher [R],Republican,,,,
251,4,Aye,Rep. Jesús “Chuy” García [D],Democrat,,,,
252,6,Aye,Rep. Sean Casten [D],Democrat,,,,
253,14,Aye,Rep. Lauren Underwood [D],Democrat,,,,
254,4,No,Rep. James Baird [R],Republican,,,,
255,6,Not Voting,Rep. Greg Pence [R],Republican,,,,
256,3,Aye,Rep. Sharice Davids [D],Democrat,,,,
257,3,Aye,Rep. Lori Trahan [D],Democrat,,,,
258,7,Aye,Rep. Ayanna Pressley [D],Democrat,,,,
259,6,Aye,Rep. David Trone [D],Democrat,,,,
260,7,Aye,Rep. Elissa Slotkin [D],Democrat,,,,
261,11,Aye,Rep. Haley Stevens [D],Democrat,,,,
262,12,Aye,Rep. Rashida Tlaib [D],Democrat,,,,
263,2,Aye,Rep. Angie Craig [D],Democrat,,,,
264,3,Aye,Rep. Dean Phillips [D],Democrat,,,,
265,5,Aye,Rep. Ilhan Omar [D],Democrat,,,,
266,8,No,Rep. Pete Stauber [R],Republican,,,,
267,3,No,Rep. Michael Guest [R],Republican,,,,
268,0,No,Rep. Kelly Armstrong [R],Republican,,,,
269,1,Aye,Rep. Chris Pappas [D],Democrat,,,,
270,2,No,Rep. Jefferson Van Drew [R],Republican,,,,
271,3,Aye,Rep. Andy Kim [D],Democrat,,,,
272,11,Aye,Rep. Mikie Sherrill [D],Democrat,,,,
273,3,Aye,Rep. Susie Lee [D],Democrat,,,,
274,14,Aye,Rep. Alexandria Ocasio-Cortez [D],Democrat,,,,
275,4,Aye,Rep. Madeleine Dean [D],Democrat,,,,
276,6,Aye,Rep. Chrissy Houlahan [D],Democrat,,,,
277,9,No,Rep. Daniel Meuser [R],Republican,,,,
278,13,No,Rep. John Joyce [R],Republican,,,,
279,14,No,Rep. Guy Reschenthaler [R],Republican,,,,
280,4,No,Rep. William Timmons [R],Republican,,,,
281,0,No,Rep. Dusty Johnson [R],Republican,,,,
282,2,No,Rep. Tim Burchett [R],Republican,,,,
283,6,No,Rep. John W. Rose [R],Republican,,,,
284,7,No,Rep. Mark E. Green [R],Republican,,,,
285,2,No,Rep. Dan Crenshaw [R],Republican,,,,
286,5,No,Rep. Lance Gooden [R],Republican,,,,
287,7,Aye,Rep. Lizzie Fletcher [D],Democrat,,,,
288,16,Aye,Rep. Veronica Escobar [D],Democrat,,,,
289,21,No,Rep. Chip Roy [R],Republican,,,,
290,29,Aye,Rep. Sylvia Garcia [D],Democrat,,,,
291,32,Aye,Rep. Colin Allred [D],Democrat,,,,
292,6,No,Rep. Ben Cline [R],Republican,,,,
293,7,Aye,Rep. Abigail Spanberger [D],Democrat,,,,
294,10,Aye,Rep. Jennifer Wexton [D],Democrat,,,,
295,8,Aye,Rep. Kim Schrier [D],Democrat,,,,
296,1,No,Rep. Bryan Steil [R],Republican,,,,
297,1,No,Rep. Carol Miller [R],Republican,,,,
298,2,No,Rep. Jared Golden [D],Democrat,,,,
299,8,No,Rep. Dan Bishop [R],Republican,,,,
300,3,No,Rep. Gregory Murphy [R],Republican,,,,
301,7,No,Rep. Thomas Tiffany [R],Republican,,,,
302,27,No,Rep. Mike Garcia [R],Republican,,,,
303,1,No,Rep. Jerry Carl [R],Republican,,,,
304,2,No,Rep. Barry Moore [R],Republican,,,,
305,23,No,Rep. Jay Obernolte [R],Republican,,,,
306,40,No,Rep. Young Kim [R],Republican,,,,
307,45,No,Rep. Michelle Steel [R],Republican,,,,
308,51,Aye,Rep. Sara Jacobs [D],Democrat,,,,
309,3,No,Rep. Lauren Boebert [R],Republican,,,,
310,3,No,Rep. Katherine “Kat” Cammack [R],Republican,,,,
311,18,No,Rep. Scott Franklin [R],Republican,,,,
312,19,No,Rep. Byron Donalds [R],Republican,,,,
313,28,No,Rep. Carlos Gimenez [R],Republican,,,,
314,27,No,Rep. Maria Salazar [R],Republican,,,,
315,5,Aye,Rep. Nikema Williams [D],Democrat,,,,
316,9,No,Rep. Andrew Clyde [R],Republican,,,,
317,14,No,Rep. Marjorie Taylor Greene [R],Republican,,,,
318,2,No,Rep. Ashley Hinson [R],Republican,,,,
319,1,No,Rep. Mariannette Miller-Meeks [R],Republican,,,,
320,4,No,Rep. Randy Feenstra [R],Republican,,,,
321,15,No,Rep. Mary Miller [R],Republican,,,,
322,1,Aye,Rep. Frank Mrvan [D],Democrat,,,,
323,5,No,Rep. Victoria Spartz [R],Republican,,,,
324,1,No,Rep. Tracey Mann [R],Republican,,,,
325,2,No,Rep. Jacob “Jake” LaTurner [R],Republican,,,,
326,4,Aye,Rep. Jake Auchincloss [D],Democrat,,,,
327,9,No,Rep. Lisa McClain [R],Republican,,,,
328,7,No,Rep. Michelle Fischbach [R],Republican,,,,
329,1,Not Voting,Rep. Cori Bush [D],Democrat,,,,
330,2,No,Rep. Matthew Rosendale [R],Republican,,,,
331,2,Aye,Rep. Deborah Ross [D],Democrat,,,,
332,6,Aye,Rep. Kathy Manning [D],Democrat,,,,
333,3,Aye,Rep. Teresa Leger Fernandez [D],Democrat,,,,
334,2,No,Rep. Andrew Garbarino [R],Republican,,,,
335,11,No,Rep. Nicole Malliotakis [R],Republican,,,,
336,15,Aye,Rep. Ritchie Torres [D],Democrat,,,,
337,16,Aye,Rep. Jamaal Bowman [D],Democrat,,,,
338,5,No,Rep. Stephanie Bice [R],Republican,,,,
339,2,No,Rep. Cliff Bentz [R],Republican,,,,
340,1,No,Rep. Nancy Mace [R],Republican,,,,
341,1,No,Rep. Diana Harshbarger [R],Republican,,,,
342,4,No,Rep. Patrick “Pat” Fallon [R],Republican,,,,
343,11,No,Rep. August Pfluger [R],Republican,,,,
344,13,No,Rep. Ronny Jackson [R],Republican,,,,
345,22,No,Rep. Troy Nehls [R],Republican,,,,
346,23,Not Voting,Rep. Ernest “Tony” Gonzales [R],Republican,,,,
347,24,No,Rep. Beth Van Duyne [R],Republican,,,,
348,1,No,Rep. Blake Moore [R],Republican,,,,
349,4,No,Rep. Clarence “Burgess” Owens [R],Republican,,,,
350,5,No,Rep. Robert “Bob” Good [R],Republican,,,,
351,10,Aye,Rep. Marilyn Strickland [D],Democrat,,,,
352,5,No,Rep. Scott Fitzgerald [R],Republican,,,,
353,5,No,Rep. Julia Letlow [R],Republican,,,,
354,2,Aye,Rep. Troy Carter [D],Democrat,,,,
355,1,Aye,Rep. Melanie Stansbury [D],Democrat,,,,
356,6,No,Rep. Jake Ellzey [R],Republican,,,,
357,11,Aye,Rep. Shontel Brown [D],Democrat,,,,
358,15,No,Rep. Mike Carey [R],Republican,,,,
359,20,Aye,Rep. Sheila Cherfilus-McCormick [D],Democrat,,,,
360,1,No,Rep. Mike Flood [R],Republican,,,,
361,1,No,Rep. Brad Finstad [R],Republican,,,,
362,0,Not Voting,Rep. Mary Peltola [D],Democrat,,,,
363,18,Aye,Rep. Patrick Ryan [D],Democrat,,,,
364,2,No,Rep. Rudy Yakym [R],Republican,,,,
365,5,No,Rep. Dale Strong [R],Republican,,,,
366,2,No,Rep. Eli Crane [R],Republican,,,,
367,6,No,Rep. Juan Ciscomani [R],Republican,,,,
368,3,No,Rep. Kevin Kiley [R],Republican,,,,
369,13,No,Rep. John Duarte [R],Republican,,,,
370,15,Aye,Rep. Kevin Mullin [D],Democrat,,,,
371,37,Aye,Rep. Sydney Kamlager-Dove [D],Democrat,,,,
372,42,Aye,Rep. Robert Julio Garcia [D],Democrat,,,,
373,7,Aye,Rep. Brittany Pettersen [D],Democrat,,,,
374,8,Aye,Rep. Yadira Caraveo [D],Democrat,,,,
375,4,No,Rep. Aaron Bean [R],Republican,,,,
376,7,No,Rep. Cory Mills [R],Republican,,,,
377,10,Aye,Rep. Maxwell Frost [D],Democrat,,,,
378,13,Not Voting,Rep. Anna Paulina Luna [R],Republican,,,,
379,15,No,Rep. Laurel Lee [R],Republican,,,,
380,23,Aye,Rep. Jared Moskowitz [D],Democrat,,,,
381,6,No,Rep. Rich McCormick [R],Republican,,,,
382,10,Not Voting,Rep. Mike Collins [R],Republican,,,,
383,0,No,Rep. James (Jim) Moylan [R],Republican,,,,
384,2,Aye,Rep. Jill Tokuda [D],Democrat,,,,
385,3,No,Rep. Zachary (Zach) Nunn [R],Republican,,,,
386,1,Aye,Rep. Jonathan Jackson [D],Democrat,,,,
