id,vote,name,party, 89, 90, 91, 92, 93, 94, 99, 100, 101, 102, 103, and 104.
169,36,Aye,Rep. Ted Lieu [D],Democrat,,,,,,,,,,,
170,35,Aye,Rep. Norma Torres [D],Democrat,,,,,,,,,,,
171,4,No,Rep. Ken Buck [R],Republican,,,,,,,,,,,
172,1,Aye,Rep. Earl “Buddy” Carter [R],Republican,,,,,,,,,,,
173,11,Aye,Rep. Barry Loudermilk [R],Republican,,,,,,,,,,,
174,12,Aye,Rep. Rick Allen [R],Republican,,,,,,,,,,,
175,12,Aye,Rep. Mike Bost [R],Republican,,,,,,,,,,,
176,6,Aye,Rep. Garret Graves [R],Republican,,,,,,,,,,,
177,6,Aye,Rep. Seth Moulton [D],Democrat,,,,,,,,,,,
178,2,Aye,Rep. John Moolenaar [R],Republican,,,,,,,,,,,
179,6,Aye,Rep. Debbie Dingell [D],Democrat,,,,,,,,,,,
180,6,Aye,Rep. Tom Emmer [R],Republican,,,,,,,,,,,
181,1,Aye,Rep. Ryan Zinke [R],Republican,,,,,,,,,,,
182,7,Aye,Rep. David Rouzer [R],Republican,,,,,,,,,,,
183,12,No,Rep. Bonnie Watson Coleman [D],Democrat,,,,,,,,,,,
184,21,Aye,Rep. Elise Stefanik [R],Republican,,,,,,,,,,,
185,2,Not Voting,Rep. Brendan Boyle [D],Democrat,,,,,,,,,,,
186,36,Aye,Rep. Brian Babin [R],Republican,,,,,,,,,,,
187,8,No,Rep. Donald Beyer [D],Democrat,,,,,,,,,,,
188,0,Not Voting,Rep. Stacey Plaskett [D],Democrat,,,,,,,,,,,
189,4,Aye,Rep. Dan Newhouse [R],Republican,,,,,,,,,,,
190,6,No,Rep. Glenn Grothman [R],Republican,,,,,,,,,,,
191,2,Aye,Rep. Alexander Mooney [R],Republican,,,,,,,,,,,
192,0,Not Voting,Rep. Aumua Amata Radewagen [R],Republican,,,,,,,,,,,
193,1,Aye,Rep. Trent Kelly [R],Republican,,,,,,,,,,,
194,16,Aye,Rep. Darin LaHood [R],Republican,,,,,,,,,,,
195,8,Aye,Rep. Warren Davidson [R],Republican,,,,,,,,,,,
196,1,Aye,Rep. James Comer [R],Republican,,,,,,,,,,,
197,3,Aye,Rep. Dwight Evans [D],Democrat,,,,,,,,,,,
198,5,No,Rep. Andy Biggs [R],Republican,,,,,,,,,,,
