id,vote,name,party, tuition for private school, and e
168,10,No,Rep. Mark DeSaulnier [D],Democrat,
169,33,No,Rep. Pete Aguilar [D],Democrat,
170,36,No,Rep. Ted Lieu [D],Democrat,
171,35,No,Rep. Norma Torres [D],Democrat,
172,4,Aye,Rep. Ken Buck [R],Republican,
173,1,No,Rep. Earl “Buddy” Carter [R],Republican,
174,11,Aye,Rep. Barry Loudermilk [R],Republican,
175,12,Aye,Rep. Rick Allen [R],Republican,
176,12,Aye,Rep. Mike Bost [R],Republican,
177,6,No,Rep. Garret Graves [R],Republican,
178,6,No,Rep. Seth Moulton [D],Democrat,
179,2,No,Rep. John Moolenaar [R],Republican,
180,6,No,Rep. Debbie Dingell [D],Democrat,
181,6,Aye,Rep. Tom Emmer [R],Republican,
182,1,Aye,Rep. Ryan Zinke [R],Republican,
183,7,No,Rep. David Rouzer [R],Republican,
184,12,No,Rep. Bonnie Watson Coleman [D],Democrat,
185,21,No,Rep. Elise Stefanik [R],Republican,
186,2,No,Rep. Brendan Boyle [D],Democrat,
187,36,Aye,Rep. Brian Babin [R],Republican,
188,8,No,Rep. Donald Beyer [D],Democrat,
189,0,No,Rep. Stacey Plaskett [D],Democrat,
190,4,No,Rep. Dan Newhouse [R],Republican,
191,6,Aye,Rep. Glenn Grothman [R],Republican,
192,2,Aye,Rep. Alexander Mooney [R],Republican,
193,0,No,Rep. Aumua Amata Radewagen [R],Republican,
194,1,Aye,Rep. Trent Kelly [R],Republican,
195,16,No,Rep. Darin LaHood [R],Republican,
196,8,Aye,Rep. Warren Davidson [R],Republican,
197,1,No,Rep. James Comer [R],Republican,
198,3,No,Rep. Dwight Evans [D],Democrat,
199,5,Aye,Rep. Andy Biggs [R],Republican,
200,17,No,Rep. Ro Khanna [D],Democrat,
201,19,No,Rep. Jimmy Panetta [D],Democrat,
202,24,No,Rep. Salud Carbajal [D],Democrat,
203,44,No,Rep. Nanette Barragán [D],Democrat,
204,46,No,Rep. Luis Correa [D],Democrat,
205,0,No,Rep. Lisa Blunt Rochester [D],Democrat,
206,1,Aye,Rep. Matt Gaetz [R],Republican,
207,2,No,Rep. Neal Dunn [R],Republican,
208,5,Aye,Rep. John Rutherford [R],Republican,
209,9,No,Rep. Darren Soto [D],Democrat,
210,21,Not Voting,Rep. Brian Mast [R],Republican,
211,3,Aye,Rep. Drew Ferguson [R],Republican,
212,8,No,Rep. Raja Krishnamoorthi [D],Democrat,
213,3,Aye,Rep. Jim Banks [R],Republican,
214,3,Aye,Rep. Clay Higgins [R],Republican,
215,4,Not Voting,Rep. Mike Johnson [R],Republican,
216,8,No,Rep. Jamie Raskin [D],Democrat,
217,1,No,Rep. Jack Bergman [R],Republican,
218,2,No,Rep. Don Bacon [R],Republican,
219,5,No,Rep. Josh Gottheimer [D],Democrat,
220,13,No,Rep. Adriano Espaillat [D],Democrat,
221,24,Aye,Rep. Claudia Tenney [R],Republican,
222,1,No,Rep. Brian Fitzpatrick [R],Republican,
223,11,Aye,Rep. Lloyd Smucker [R],Republican,
224,0,No,Commish. Jenniffer González-Colón [R],Republican,
225,8,No,Rep. David Kustoff [R],Republican,
226,34,No,Rep. Vicente Gonzalez [D],Democrat,
227,19,Aye,Rep. Jodey Arrington [R],Republican,
228,7,No,Rep. Pramila Jayapal [D],Democrat,
229,8,No,Rep. Mike Gallagher [R],Republican,
230,4,No,Rep. Ron Estes [R],Republican,
231,5,Aye,Rep. Ralph Norman [R],Republican,
232,34,No,Rep. Jimmy Gomez [D],Democrat,
233,3,Aye,Rep. John Curtis [R],Republican,
234,8,Aye,Rep. Debbie Lesko [R],Republican,
235,27,Aye,Rep. Michael Cloud [R],Republican,
236,12,No,Rep. Troy Balderson [R],Republican,
237,1,Aye,Rep. Kevin Hern [R],Republican,
238,25,No,Rep. Joseph Morelle [D],Democrat,
239,5,No,Rep. Mary Gay Scanlon [D],Democrat,
240,7,No,Rep. Susan Wild [D],Democrat,
241,4,No,Rep. Greg Stanton [D],Democrat,
242,9,No,Rep. Josh Harder [D],Democrat,
243,47,No,Rep. Katie Porter [D],Democrat,
244,49,No,Rep. Mike Levin [D],Democrat,
245,2,No,Rep. Joe Neguse [D],Democrat,
246,6,No,Rep. Jason Crow [D],Democrat,
247,5,No,Rep. Jahana Hayes [D],Democrat,
248,6,Aye,Rep. Michael Waltz [R],Republican,
249,17,Aye,Rep. Gregory Steube [R],Republican,
250,7,No,Rep. Lucy McBath [D],Democrat,
251,1,Aye,Rep. Russ Fulcher [R],Republican,
252,4,No,Rep. Jesús “Chuy” García [D],Democrat,
253,6,No,Rep. Sean Casten [D],Democrat,
254,14,No,Rep. Lauren Underwood [D],Democrat,
255,4,No,Rep. James Baird [R],Republican,
256,6,Not Voting,Rep. Greg Pence [R],Republican,
257,3,No,Rep. Sharice Davids [D],Democrat,
258,3,No,Rep. Lori Trahan [D],Democrat,
259,7,No,Rep. Ayanna Pressley [D],Democrat,
260,6,No,Rep. David Trone [D],Democrat,
261,7,No,Rep. Elissa Slotkin [D],Democrat,
262,11,No,Rep. Haley Stevens [D],Democrat,
263,12,No,Rep. Rashida Tlaib [D],Democrat,
264,2,No,Rep. Angie Craig [D],Democrat,
265,3,No,Rep. Dean Phillips [D],Democrat,
266,5,No,Rep. Ilhan Omar [D],Democrat,
267,8,No,Rep. Pete Stauber [R],Republican,
268,3,Aye,Rep. Michael Guest [R],Republican,
269,0,No,Rep. Kelly Armstrong [R],Republican,
270,1,No,Rep. Chris Pappas [D],Democrat,
271,2,Aye,Rep. Jefferson Van Drew [R],Republican,
272,3,No,Rep. Andy Kim [D],Democrat,
273,11,No,Rep. Mikie Sherrill [D],Democrat,
274,3,No,Rep. Susie Lee [D],Democrat,
275,14,No,Rep. Alexandria Ocasio-Cortez [D],Democrat,
276,4,No,Rep. Madeleine Dean [D],Democrat,
277,6,No,Rep. Chrissy Houlahan [D],Democrat,
278,9,Aye,Rep. Daniel Meuser [R],Republican,
279,13,Aye,Rep. John Joyce [R],Republican,
280,14,Aye,Rep. Guy Reschenthaler [R],Republican,
281,4,Aye,Rep. William Timmons [R],Republican,
282,0,No,Rep. Dusty Johnson [R],Republican,
283,2,Aye,Rep. Tim Burchett [R],Republican,
284,6,No,Rep. John W. Rose [R],Republican,
285,7,Aye,Rep. Mark E. Green [R],Republican,
286,2,No,Rep. Dan Crenshaw [R],Republican,
287,5,No,Rep. Lance Gooden [R],Republican,
288,7,No,Rep. Lizzie Fletcher [D],Democrat,
289,16,No,Rep. Veronica Escobar [D],Democrat,
290,21,Aye,Rep. Chip Roy [R],Republican,
291,29,No,Rep. Sylvia Garcia [D],Democrat,
292,32,No,Rep. Colin Allred [D],Democrat,
293,6,Aye,Rep. Ben Cline [R],Republican,
294,7,No,Rep. Abigail Spanberger [D],Democrat,
295,10,No,Rep. Jennifer Wexton [D],Democrat,
296,8,No,Rep. Kim Schrier [D],Democrat,
297,1,No,Rep. Bryan Steil [R],Republican,
298,1,Aye,Rep. Carol Miller [R],Republican,
299,2,No,Rep. Jared Golden [D],Democrat,
