id,vote,name,party, and staff.
261,8,Yea,Rep. Pete Stauber [R],Republican
262,3,Yea,Rep. Michael Guest [R],Republican
263,0,Yea,Rep. Kelly Armstrong [R],Republican
264,1,Yea,Rep. Chris Pappas [D],Democrat
265,2,Yea,Rep. Jefferson Van Drew [R],Republican
266,3,Yea,Rep. Andy Kim [D],Democrat
267,11,Yea,Rep. Mikie Sherrill [D],Democrat
268,3,Yea,Rep. Susie Lee [D],Democrat
269,14,Nay,Rep. Alexandria Ocasio-Cortez [D],Democrat
270,4,Yea,Rep. Madeleine Dean [D],Democrat
271,6,Yea,Rep. Chrissy Houlahan [D],Democrat
272,9,Yea,Rep. Daniel Meuser [R],Republican
273,13,Yea,Rep. John Joyce [R],Republican
274,14,Yea,Rep. Guy Reschenthaler [R],Republican
275,4,Yea,Rep. William Timmons [R],Republican
276,0,Yea,Rep. Dusty Johnson [R],Republican
277,2,Yea,Rep. Tim Burchett [R],Republican
278,6,Yea,Rep. John W. Rose [R],Republican
279,7,Yea,Rep. Mark E. Green [R],Republican
280,2,Yea,Rep. Dan Crenshaw [R],Republican
281,5,Yea,Rep. Lance Gooden [R],Republican
282,7,Yea,Rep. Lizzie Fletcher [D],Democrat
283,16,Yea,Rep. Veronica Escobar [D],Democrat
284,21,Yea,Rep. Chip Roy [R],Republican
285,29,Yea,Rep. Sylvia Garcia [D],Democrat
286,32,Yea,Rep. Colin Allred [D],Democrat
287,6,Yea,Rep. Ben Cline [R],Republican
288,7,Yea,Rep. Abigail Spanberger [D],Democrat
289,10,Not Voting,Rep. Jennifer Wexton [D],Democrat
290,8,Yea,Rep. Kim Schrier [D],Democrat
291,1,Yea,Rep. Bryan Steil [R],Republican
292,1,Yea,Rep. Carol Miller [R],Republican
293,2,Yea,Rep. Jared Golden [D],Democrat
294,8,Yea,Rep. Dan Bishop [R],Republican
295,3,Yea,Rep. Gregory Murphy [R],Republican
296,7,Yea,Rep. Thomas Tiffany [R],Republican
297,27,Yea,Rep. Mike Garcia [R],Republican
298,1,Yea,Rep. Jerry Carl [R],Republican
299,2,Yea,Rep. Barry Moore [R],Republican
300,23,Yea,Rep. Jay Obernolte [R],Republican
301,40,Yea,Rep. Young Kim [R],Republican
302,45,Yea,Rep. Michelle Steel [R],Republican
303,51,Yea,Rep. Sara Jacobs [D],Democrat
304,3,Not Voting,Rep. Lauren Boebert [R],Republican
305,3,Yea,Rep. Katherine “Kat” Cammack [R],Republican
306,18,Yea,Rep. Scott Franklin [R],Republican
307,19,Yea,Rep. Byron Donalds [R],Republican
308,28,Yea,Rep. Carlos Gimenez [R],Republican
309,27,Yea,Rep. Maria Salazar [R],Republican
310,5,Yea,Rep. Nikema Williams [D],Democrat
311,9,Yea,Rep. Andrew Clyde [R],Republican
312,14,Yea,Rep. Marjorie Taylor Greene [R],Republican
313,2,Yea,Rep. Ashley Hinson [R],Republican
314,1,Yea,Rep. Mariannette Miller-Meeks [R],Republican
315,4,Yea,Rep. Randy Feenstra [R],Republican
316,15,Yea,Rep. Mary Miller [R],Republican
317,1,Yea,Rep. Frank Mrvan [D],Democrat
318,5,Yea,Rep. Victoria Spartz [R],Republican
319,1,Yea,Rep. Tracey Mann [R],Republican
320,2,Yea,Rep. Jacob “Jake” LaTurner [R],Republican
321,4,Yea,Rep. Jake Auchincloss [D],Democrat
322,9,Yea,Rep. Lisa McClain [R],Republican
323,7,Yea,Rep. Michelle Fischbach [R],Republican
324,1,Nay,Rep. Cori Bush [D],Democrat
325,2,Yea,Rep. Matthew Rosendale [R],Republican
326,2,Yea,Rep. Deborah Ross [D],Democrat
327,6,Yea,Rep. Kathy Manning [D],Democrat
328,3,Yea,Rep. Teresa Leger Fernandez [D],Democrat
329,2,Not Voting,Rep. Andrew Garbarino [R],Republican
330,11,Yea,Rep. Nicole Malliotakis [R],Republican
331,15,Nay,Rep. Ritchie Torres [D],Democrat
332,16,Nay,Rep. Jamaal Bowman [D],Democrat
333,5,Yea,Rep. Stephanie Bice [R],Republican
334,2,Yea,Rep. Cliff Bentz [R],Republican
335,1,Yea,Rep. Nancy Mace [R],Republican
336,1,Yea,Rep. Diana Harshbarger [R],Republican
337,4,Yea,Rep. Patrick “Pat” Fallon [R],Republican
338,11,Yea,Rep. August Pfluger [R],Republican
339,13,Yea,Rep. Ronny Jackson [R],Republican
340,22,Yea,Rep. Troy Nehls [R],Republican
341,23,Yea,Rep. Ernest “Tony” Gonzales [R],Republican
342,24,Yea,Rep. Beth Van Duyne [R],Republican
343,1,Yea,Rep. Blake Moore [R],Republican
344,4,Yea,Rep. Clarence “Burgess” Owens [R],Republican
345,5,Yea,Rep. Robert “Bob” Good [R],Republican
346,10,Yea,Rep. Marilyn Strickland [D],Democrat
347,5,Yea,Rep. Scott Fitzgerald [R],Republican
348,5,Yea,Rep. Julia Letlow [R],Republican
349,2,Yea,Rep. Troy Carter [D],Democrat
350,1,Yea,Rep. Melanie Stansbury [D],Democrat
351,6,Yea,Rep. Jake Ellzey [R],Republican
352,11,Yea,Rep. Shontel Brown [D],Democrat
353,15,Yea,Rep. Mike Carey [R],Republican
354,20,Yea,Rep. Sheila Cherfilus-McCormick [D],Democrat
355,1,Yea,Rep. Mike Flood [R],Republican
356,1,Yea,Rep. Brad Finstad [R],Republican
357,0,Yea,Rep. Mary Peltola [D],Democrat
358,18,Yea,Rep. Patrick Ryan [D],Democrat
359,2,Yea,Rep. Rudy Yakym [R],Republican
360,5,Yea,Rep. Dale Strong [R],Republican
361,2,Yea,Rep. Eli Crane [R],Republican
362,6,Yea,Rep. Juan Ciscomani [R],Republican
363,3,Yea,Rep. Kevin Kiley [R],Republican
364,13,Yea,Rep. John Duarte [R],Republican
365,15,Yea,Rep. Kevin Mullin [D],Democrat
366,37,Yea,Rep. Sydney Kamlager-Dove [D],Democrat
367,42,Yea,Rep. Robert Julio Garcia [D],Democrat
368,7,Yea,Rep. Brittany Pettersen [D],Democrat
369,8,Yea,Rep. Yadira Caraveo [D],Democrat
370,4,Yea,Rep. Aaron Bean [R],Republican
371,7,Yea,Rep. Cory Mills [R],Republican
372,10,Nay,Rep. Maxwell Frost [D],Democrat
373,13,Yea,Rep. Anna Paulina Luna [R],Republican
374,15,Yea,Rep. Laurel Lee [R],Republican
375,23,Yea,Rep. Jared Moskowitz [D],Democrat
376,6,Yea,Rep. Rich McCormick [R],Republican
377,10,Yea,Rep. Mike Collins [R],Republican
378,2,Yea,Rep. Jill Tokuda [D],Democrat
379,3,Yea,Rep. Zachary (Zach) Nunn [R],Republican
380,1,Nay,Rep. Jonathan Jackson [D],Democrat
381,3,Nay,Rep. Delia Ramirez [D],Democrat
382,13,Yea,Rep. Nicole (Nikki) Budzinski [D],Democrat
383,17,Yea,Rep. Eric Sorensen [D],Democrat
384,9,Yea,Rep. Erin Houchin [R],Republican
385,3,Yea,Rep. Morgan McGarvey [D],Democrat
386,4,Yea,Rep. Glenn Ivey [D],Democrat
387,3,Yea,Rep. Hillary Scholten [D],Democrat
388,10,Yea,Rep. John James [R],Republican
389,13,Yea,Rep. Shri Thanedar [D],Democrat
390,4,Yea,Rep. Mark Alford [R],Republican
391,7,Yea,Rep. Eric Burlison [R],Republican
392,4,Yea,Rep. Mike Ezell [R],Republican
393,1,Yea,Rep. Donald Davis [D],Democrat
