id,vote,name,party, removing deadline for the ratification of the equal rights adt
384,27,Nay,"Rep. Maria Salazar [R, 2021-2024]",Republican
385,5,Yea,"Rep. Nikema Williams [D, 2021-2024]",Democrat
386,7,Yea,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat
387,9,Nay,"Rep. Andrew Clyde [R, 2021-2024]",Republican
388,14,Nay,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican
389,2,Yea,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat
390,1,Nay,"Rep. Ashley Hinson [R, 2021-2022]",Republican
391,2,Nay,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican
392,4,Nay,"Rep. Randy Feenstra [R, 2021-2024]",Republican
393,3,Yea,"Rep. Marie Newman [D, 2021-2022]",Democrat
394,15,Nay,"Rep. Mary Miller [R, 2021-2024]",Republican
395,1,Yea,"Rep. Frank Mrvan [D, 2021-2024]",Democrat
396,5,Nay,"Rep. Victoria Spartz [R, 2021-2024]",Republican
397,1,Nay,"Rep. Tracey Mann [R, 2021-2024]",Republican
398,2,Nay,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican
399,4,Yea,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat
400,3,Nay,"Rep. Peter Meijer [R, 2021-2022]",Republican
401,10,Nay,"Rep. Lisa McClain [R, 2021-2022]",Republican
402,7,Nay,"Rep. Michelle Fischbach [R, 2021-2024]",Republican
403,1,Yea,"Rep. Cori Bush [D, 2021-2024]",Democrat
404,0,Nay,"Rep. Matthew Rosendale [R, 2021-2022]",Republican
405,2,Yea,"Rep. Deborah Ross [D, 2021-2024]",Democrat
406,6,Yea,"Rep. Kathy Manning [D, 2021-2024]",Democrat
407,11,Nay,"Rep. Madison Cawthorn [R, 2021-2022]",Republican
408,2,Nay,"Rep. Yvette Herrell [R, 2021-2022]",Republican
409,3,Yea,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat
410,2,Nay,"Rep. Andrew Garbarino [R, 2021-2024]",Republican
411,11,Nay,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican
412,15,Yea,"Rep. Ritchie Torres [D, 2021-2024]",Democrat
413,16,Yea,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat
414,17,Yea,"Rep. Mondaire Jones [D, 2021-2022]",Democrat
415,5,Nay,"Rep. Stephanie Bice [R, 2021-2024]",Republican
416,2,Nay,"Rep. Cliff Bentz [R, 2021-2024]",Republican
417,1,Nay,"Rep. Nancy Mace [R, 2021-2024]",Republican
418,1,Nay,"Rep. Diana Harshbarger [R, 2021-2024]",Republican
419,4,Nay,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican
420,11,Nay,"Rep. August Pfluger [R, 2021-2024]",Republican
421,13,Nay,"Rep. Ronny Jackson [R, 2021-2024]",Republican
422,22,Nay,"Rep. Troy Nehls [R, 2021-2024]",Republican
423,23,Nay,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican
424,24,Nay,"Rep. Beth Van Duyne [R, 2021-2024]",Republican
425,1,Nay,"Rep. Blake Moore [R, 2021-2024]",Republican
426,4,Nay,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican
427,5,Nay,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican
428,10,Yea,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat
429,5,Nay,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican
