id,vote,name,party, 8, 10, 18, and 19.
356,7,Nay,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,
357,16,Nay,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,
358,21,Yea,"Rep. Chip Roy [R, 2019-2024]",Republican,,,
359,29,Nay,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,
360,32,Nay,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,
361,2,Nay,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,
362,6,Yea,"Rep. Ben Cline [R, 2019-2024]",Republican,,,
363,7,Nay,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,
364,10,Nay,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,
365,8,Nay,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,
366,1,Yea,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,
367,3,Yea,"Rep. Carol Miller [R, 2019-2022]",Republican,,,
368,2,Nay,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,
369,12,Yea,"Rep. Fred Keller [R, 2019-2022]",Republican,,,
370,9,Yea,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,
371,3,Yea,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,
372,7,Not Voting,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,
373,25,Yea,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,
374,27,Yea,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,
375,1,Yea,"Rep. Jerry Carl [R, 2021-2024]",Republican,,,
376,2,Yea,"Rep. Barry Moore [R, 2021-2024]",Republican,,,
377,8,Yea,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,,
378,39,Yea,"Rep. Young Kim [R, 2021-2022]",Republican,,,
379,48,Yea,"Rep. Michelle Steel [R, 2021-2022]",Republican,,,
380,53,Nay,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,,
381,3,Yea,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,,
382,3,Yea,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,,
383,15,Yea,"Rep. Scott Franklin [R, 2021-2022]",Republican,,,
384,19,Yea,"Rep. Byron Donalds [R, 2021-2024]",Republican,,,
385,26,Yea,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,,
386,27,Nay,"Rep. Maria Salazar [R, 2021-2024]",Republican,,,
387,5,Nay,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,,
388,7,Nay,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,,
389,9,Yea,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,,
390,14,Yea,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,,
391,2,Nay,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,,
392,1,Yea,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,,
393,2,Yea,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,,
394,4,Yea,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,,
395,3,Nay,"Rep. Marie Newman [D, 2021-2022]",Democrat,,,
396,15,Yea,"Rep. Mary Miller [R, 2021-2024]",Republican,,,
397,1,Nay,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,,
398,5,Yea,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,,
399,1,Yea,"Rep. Tracey Mann [R, 2021-2024]",Republican,,,
400,2,Yea,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,,
401,4,Nay,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,,
402,3,Yea,"Rep. Peter Meijer [R, 2021-2022]",Republican,,,
403,10,Yea,"Rep. Lisa McClain [R, 2021-2022]",Republican,,,
404,7,Yea,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,,
405,1,Nay,"Rep. Cori Bush [D, 2021-2024]",Democrat,,,
406,0,Nay,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,,
407,2,Nay,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,,
408,6,Nay,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,,
409,11,Yea,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,,
410,2,Yea,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,,
411,3,Nay,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,,
412,2,Nay,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,,
413,11,Nay,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,,
414,15,Nay,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,,
415,16,Nay,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,,
416,17,Nay,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,,
417,5,Yea,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,,
418,2,Yea,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,,
419,1,Yea,"Rep. Nancy Mace [R, 2021-2024]",Republican,,,
420,1,Yea,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,,
421,4,Yea,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,,
422,11,Yea,"Rep. August Pfluger [R, 2021-2024]",Republican,,,
423,13,Yea,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,,
424,22,Yea,"Rep. Troy Nehls [R, 2021-2024]",Republican,,,
425,23,Yea,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,,
426,24,Yea,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,,
427,1,Yea,"Rep. Blake Moore [R, 2021-2024]",Republican,,,
428,4,Yea,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,,
429,5,Yea,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,,
430,10,Nay,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,,
431,5,Yea,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,,
