id,vote,name,party, 28, 29, 30, 37, 45, 79, 80, 92, 94, 96, 106, 110, 116, 121, 155, 164, 165, 180, 181,Unnamed: 24
416,4,Yea,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
417,11,Yea,"Rep. August Pfluger [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
418,13,Yea,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
419,22,Yea,"Rep. Troy Nehls [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
420,23,Yea,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
421,24,Yea,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
422,1,Yea,"Rep. Blake Moore [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
423,4,Yea,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
424,5,Yea,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
425,10,Nay,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
426,5,Yea,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
427,5,Yea,"Rep. Julia Letlow [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
428,2,Nay,"Rep. Troy Carter [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
429,1,Nay,"Rep. Melanie Stansbury [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
430,6,Yea,"Rep. Jake Ellzey [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
431,11,Nay,"Rep. Shontel Brown [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
432,15,Yea,"Rep. Mike Carey [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
433,20,Nay,"Rep. Sheila Cherfilus-McCormick [D, 2022-2024]",Democrat,,,,,,,,,,,,,,,,,,,
