id,vote,name,party, 79, 83, 97, 118, 128, 139, 151, and 160.
328,3,Aye,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,
329,0,Aye,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,
330,1,No,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,
331,2,Aye,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,
332,3,No,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,
333,7,No,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,
334,11,No,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,
335,3,No,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,
336,14,No,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,
337,16,No,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,
338,4,No,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,
339,6,No,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,
340,9,Aye,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,
341,13,Aye,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,
342,14,Aye,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,
343,4,Aye,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,
344,0,Aye,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,
345,2,Not Voting,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,
346,6,Aye,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,
347,7,Aye,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,
348,2,Aye,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,
349,3,Aye,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,
350,5,Aye,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,
351,7,No,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,
352,16,No,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,
353,21,Aye,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,
354,29,No,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,
355,32,No,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,
356,2,No,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,
357,6,Aye,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,
358,7,No,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,
359,10,No,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,
360,8,No,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,
361,1,Aye,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,
362,3,Not Voting,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,
363,2,No,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,
364,12,Aye,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,
365,9,Aye,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,
366,3,Aye,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,
367,7,Aye,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,
368,25,Aye,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,
369,27,No,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,
370,1,Aye,"Rep. Jerry Carl [R, 2021-2024]",Republican,,,,,,,
371,2,Aye,"Rep. Barry Moore [R, 2021-2024]",Republican,,,,,,,
372,8,Aye,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,,,,,,
373,39,Aye,"Rep. Young Kim [R, 2021-2022]",Republican,,,,,,,
374,48,Aye,"Rep. Michelle Steel [R, 2021-2022]",Republican,,,,,,,
375,53,No,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,,,,,,
376,3,Aye,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,,,,,,
377,3,Aye,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,,,,,,
378,15,Aye,"Rep. Scott Franklin [R, 2021-2022]",Republican,,,,,,,
379,19,Aye,"Rep. Byron Donalds [R, 2021-2024]",Republican,,,,,,,
380,26,Aye,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,,,,,,
381,27,Aye,"Rep. Maria Salazar [R, 2021-2024]",Republican,,,,,,,
382,5,No,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,,,,,,
383,7,No,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,,,,,,
384,9,Aye,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,,,,,,
385,14,Aye,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,,,,,,
386,2,No,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,,,,,,
387,1,Aye,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,,,,,,
388,2,Aye,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,,,,,,
389,4,Aye,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,,,,,,
390,3,No,"Rep. Marie Newman [D, 2021-2022]",Democrat,,,,,,,
391,15,Aye,"Rep. Mary Miller [R, 2021-2024]",Republican,,,,,,,
392,1,No,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,,,,,,
393,5,Aye,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,,,,,,
394,1,Aye,"Rep. Tracey Mann [R, 2021-2024]",Republican,,,,,,,
395,2,Aye,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,,,,,,
396,4,No,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,,,,,,
397,3,Aye,"Rep. Peter Meijer [R, 2021-2022]",Republican,,,,,,,
398,10,Aye,"Rep. Lisa McClain [R, 2021-2022]",Republican,,,,,,,
399,7,Aye,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,,,,,,
400,1,No,"Rep. Cori Bush [D, 2021-2024]",Democrat,,,,,,,
401,0,Aye,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,,,,,,
402,2,No,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,,,,,,
403,6,No,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,,,,,,
404,11,Not Voting,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,,,,,,
405,2,Aye,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,,,,,,
406,3,No,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,,,,,,
407,2,Aye,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,,,,,,
408,11,Aye,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,,,,,,
409,15,No,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,,,,,,
410,16,No,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,,,,,,
411,17,No,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,,,,,,
412,5,Aye,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,,,,,,
413,2,Aye,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,,,,,,
414,1,Aye,"Rep. Nancy Mace [R, 2021-2024]",Republican,,,,,,,
415,1,Aye,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,,,,,,
416,4,Aye,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,,,,,,
417,11,Aye,"Rep. August Pfluger [R, 2021-2024]",Republican,,,,,,,
418,13,Aye,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,,,,,,
419,22,Aye,"Rep. Troy Nehls [R, 2021-2024]",Republican,,,,,,,
420,23,Aye,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,,,,,,
421,24,Aye,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,,,,,,
422,1,Aye,"Rep. Blake Moore [R, 2021-2024]",Republican,,,,,,,
423,4,Aye,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,,,,,,
424,5,Aye,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,,,,,,
425,10,No,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,,,,,,
426,5,Aye,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,,,,,,
427,5,Aye,"Rep. Julia Letlow [R, 2021-2024]",Republican,,,,,,,
428,2,No,"Rep. Troy Carter [D, 2021-2024]",Democrat,,,,,,,
429,1,No,"Rep. Melanie Stansbury [D, 2021-2024]",Democrat,,,,,,,
430,6,Aye,"Rep. Jake Ellzey [R, 2021-2024]",Republican,,,,,,,
431,11,No,"Rep. Shontel Brown [D, 2021-2024]",Democrat,,,,,,,
432,15,Aye,"Rep. Mike Carey [R, 2021-2024]",Republican,,,,,,,
433,20,No,"Rep. Sheila Cherfilus-McCormick [D, 2022-2024]",Democrat,,,,,,,
434,22,Aye,"Rep. Connie Conway [R, 2022-2022]",Republican,,,,,,,
435,34,Aye,"Rep. Mayra Flores [R, 2022-2022]",Republican,,,,,,,
436,1,Aye,"Rep. Mike Flood [R, 2022-2024]",Republican,,,,,,,
