id,vote,name,party, 79, 83, 97, 118, 128, 139, 151, and 160.
116,1,No,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,
117,8,Aye,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,
118,0,No,"Rep. Gregorio Sablan [D, 2009-2024]",Democrat,,,,,,,
119,5,No,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,
120,15,No,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,
121,1,No,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,
122,20,No,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,
123,5,No,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,
124,27,No,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,
125,3,No,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,
126,22,No,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,
127,5,Aye,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,
128,7,No,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,
129,4,Aye,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,
130,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,
131,1,Aye,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,
132,3,Aye,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,
133,37,No,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,
134,11,Aye,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,
135,24,No,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,
136,8,Aye,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,
137,16,Not Voting,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,
138,8,Aye,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,
139,1,Aye,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,
140,9,No,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,
141,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,
142,4,Aye,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,
143,4,Not Voting,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,
144,7,Aye,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,
145,6,Aye,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,
146,7,Aye,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,
147,16,Aye,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,
148,1,No,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,
149,3,Aye,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,
150,3,Aye,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,
151,4,Aye,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,
152,9,Aye,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,
153,3,Aye,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,
154,1,Not Voting,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,
155,2,Aye,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,
156,1,No,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,
157,4,Aye,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,
158,1,No,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,
159,10,No,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,
160,1,Aye,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,
161,2,No,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,
162,7,No,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,
163,15,No,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,
164,21,Aye,"Rep. David Valadao [R, 2021-2022]",Republican,,,,,,,
165,26,No,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,
166,29,No,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,
167,36,No,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,
168,41,No,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,
169,47,No,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,
170,51,No,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,
171,52,No,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,
172,21,No,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,
173,10,No,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,
174,13,Aye,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,
175,17,No,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,
176,2,Aye,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,
177,6,Aye,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,
178,5,No,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,
179,2,Aye,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,
180,8,Aye,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,
181,2,No,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,
182,4,No,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,
183,6,No,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,
184,8,No,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,
185,18,No,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,
186,2,Aye,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,
187,3,No,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,
188,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,
189,2,Aye,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,
190,10,Aye,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,
191,8,No,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,
192,7,Aye,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,
193,14,Aye,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,
194,20,No,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,
195,25,Aye,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,
196,33,No,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,
