id,vote,name,party, 45, 77, 78, 79, 80, 81, 82, 98, 107, 120, 122, 125, 134, and 135.
173,52,Nay,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,,,,
174,21,Nay,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,,,,
175,10,Nay,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,,,,
176,13,Yea,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,,,,
177,17,Nay,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,,,,
178,2,Yea,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,,,,
179,6,Yea,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,,,,
180,5,Nay,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,,,,
181,2,Yea,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,,,,
182,8,Yea,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,,,,
183,2,Nay,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,,,,
184,4,Nay,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,,,,
185,6,Nay,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,,,,
186,8,Nay,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,,,,
187,18,Nay,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,
188,2,Yea,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,,,,
189,3,Nay,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,,,,
190,14,Yea,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,,,,
191,2,Yea,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,,,,
192,10,Yea,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,,,,
193,8,Nay,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,,,,
194,7,Yea,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,,,,
195,14,Not Voting,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,,,,
196,20,Nay,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,,,,
197,25,Not Voting,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,,,,
198,33,Nay,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,,,,
199,34,Nay,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,,,,,,,,,,,
200,2,Yea,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,,,
201,6,Nay,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,,,,
202,2,Nay,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,,,,
203,2,Nay,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,,,,
204,8,Yea,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,,,,
205,5,Nay,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,,,,
206,1,Nay,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,,,,
207,12,Nay,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,,,,
208,6,Yea,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,,,,
209,2,Yea,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,,,,
210,4,Yea,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,,,,
211,7,Nay,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,,,,
212,11,Nay,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,,,,
213,31,Nay,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,,,,
214,33,Nay,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,,,,
215,35,Nay,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,,,,
216,4,Yea,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,,,,
217,1,Not Voting,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,,,,,,,
218,10,Yea,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,,,,,,,
219,11,Yea,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,,,,,,,
