id,vote,name,party, 45, 77, 78, 79, 80, 81, 82, 98, 107, 120, 122, 125, 134, and 135.
278,11,Yea,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,,,,,,,
279,8,Yea,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,,,,,,,
280,15,Nay,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,,,,,,,
281,19,Not Voting,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,,,,,,,
282,4,Nay,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,,,,,,,
283,7,Nay,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,,,,,,,
284,8,Yea,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,,,,,,,
285,0,Yea,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,,,,,,,
286,4,Yea,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,,,,,,,
287,5,Not Voting,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,,,,,,,
288,34,Nay,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,,,,,,,
289,3,Yea,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,,,,,,,
290,17,Nay,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,,,,,,,
291,8,Yea,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,,,,,,,
292,27,Not Voting,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,,,,,,,
293,12,Yea,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,,,,,,,
294,1,Yea,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,,,,,,,
295,25,Nay,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,,,,,,,
296,5,Nay,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,,,,,,,
297,7,Nay,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,,,,,,,
298,9,Nay,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,,,,,,,
299,10,Nay,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,,,,,,,
300,45,Nay,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,,,,,,,
301,49,Nay,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,,,,,,,
302,2,Nay,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,,,,,,,
303,6,Nay,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,,,,,,,
304,5,Nay,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,,,,,,,
305,6,Yea,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,,,,,,,
306,17,Yea,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,,,,,,,
307,6,Nay,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,,,,,,,
308,3,Nay,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,,,,,,,
309,1,Not Voting,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,,,,,,,
310,4,Nay,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,,,,,,,
311,6,Nay,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,,,,,,,
312,14,Nay,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,,,,,,,
313,4,Yea,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,,,,,,,
314,6,Yea,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,,,,,,,
315,3,Nay,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,,,,,,,
316,3,Nay,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,
317,7,Nay,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,,,,,,,
318,6,Nay,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,,,,,,,
319,8,Nay,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,,,,,,,
320,9,Nay,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,,,,,,,
321,11,Nay,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,,,,,,,
322,13,Nay,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,,,,,,,
323,1,Not Voting,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,,,,,,,,,,,
324,2,Nay,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,,,,,,,
325,3,Nay,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,,,,,,,
326,5,Nay,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,,,,,,,
327,8,Yea,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,,,,,,,
328,3,Yea,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,,,,,,,
329,0,Yea,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,,,,,,,
330,1,Nay,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,,,,,,,
331,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,,,,,,,
332,3,Nay,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,,,,,,,
333,7,Nay,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,,,,,,,
334,11,Nay,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,,,,,,,
335,3,Nay,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,,,,,,,
336,14,Nay,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,,,,,,,
337,19,Nay,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,,,,,,,,,,,
338,16,Yea,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,,,,,,,
339,4,Nay,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,,,,,,,
340,6,Nay,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,
341,9,Yea,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,,,,,,,
342,13,Yea,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,,,,,,,
343,14,Yea,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,,,,,,,
344,4,Yea,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,,,,,,,
345,0,Yea,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,,,,,,,
346,2,Yea,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,,,,,,,
347,6,Not Voting,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,,,,,,,
348,7,Yea,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,,,,,,,
349,2,Yea,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,,,,,,,
350,3,Yea,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,,,,,,,
351,5,Yea,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,,,,,,,
352,7,Nay,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,,,,,,,
353,16,Nay,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,,,,,,,
354,21,Not Voting,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,,,,,,,
355,29,Nay,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,,,,,,,
356,32,Nay,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,,,,,,,
357,2,Nay,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,,,,,,,
358,6,Yea,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,,,,,,,
359,7,Nay,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,,,,,,,
360,10,Nay,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,,,,,,,
361,8,Nay,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,,,,,,,
362,1,Yea,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,,,,,,,
363,3,Yea,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,,,,,,,
364,2,Nay,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,,,,,,,
365,12,Yea,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,,,,,,,
366,9,Yea,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,,,,
367,3,Yea,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,,,,
368,7,Not Voting,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,,,,,,,
369,25,Yea,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,,,,,,,
370,27,Yea,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,,,,,,,
371,1,Yea,"Rep. Jerry Carl [R, 2021-2024]",Republican,,,,,,,,,,,,,
372,2,Yea,"Rep. Barry Moore [R, 2021-2024]",Republican,,,,,,,,,,,,,
373,8,Yea,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,,,,,,,,,,,,
374,39,Yea,"Rep. Young Kim [R, 2021-2022]",Republican,,,,,,,,,,,,,
375,48,Yea,"Rep. Michelle Steel [R, 2021-2022]",Republican,,,,,,,,,,,,,
376,53,Nay,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,,,,,,,,,,,,
377,3,Yea,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,,,,,,,,,,,,
378,3,Yea,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,,,,,,,,,,,,
379,15,Yea,"Rep. Scott Franklin [R, 2021-2022]",Republican,,,,,,,,,,,,,
380,19,Yea,"Rep. Byron Donalds [R, 2021-2024]",Republican,,,,,,,,,,,,,
381,26,Yea,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,,,,,,,,,,,,
382,27,Yea,"Rep. Maria Salazar [R, 2021-2024]",Republican,,,,,,,,,,,,,
383,5,Nay,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,,,,,,,,,,,,
384,7,Nay,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,,,,,,,,,,,,
385,9,Yea,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,,,,,,,,,,,,
386,14,Yea,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,,,,,,,,,,,,
387,2,Nay,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,,,,,,,,,,,,
388,1,Yea,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,,,,,,,,,,,,
389,2,Nay,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,,,,,,,,,,,,
390,4,Yea,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,,,,,,,,,,,,
391,3,Nay,"Rep. Marie Newman [D, 2021-2022]",Democrat,,,,,,,,,,,,,
392,15,Not Voting,"Rep. Mary Miller [R, 2021-2024]",Republican,,,,,,,,,,,,,
393,1,Nay,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,,,,,,,,,,,,
394,5,Yea,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,,,,,,,,,,,,
395,1,Yea,"Rep. Tracey Mann [R, 2021-2024]",Republican,,,,,,,,,,,,,
396,2,Yea,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,,,,,,,,,,,,
397,4,Nay,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,,,,,,,,,,,,
398,3,Yea,"Rep. Peter Meijer [R, 2021-2022]",Republican,,,,,,,,,,,,,
399,10,Yea,"Rep. Lisa McClain [R, 2021-2022]",Republican,,,,,,,,,,,,,
400,7,Yea,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,,,,,,,,,,,,
401,1,Nay,"Rep. Cori Bush [D, 2021-2024]",Democrat,,,,,,,,,,,,,
402,0,Yea,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,,,,,,,,,,,,
403,2,Nay,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,,,,,,,,,,,,
404,6,Nay,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,,,,,,,,,,,,
405,11,Yea,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,,,,,,,,,,,,
406,2,Not Voting,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,,,,,,,,,,,,
407,3,Nay,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,,,,,,,,,,,,
408,2,Nay,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,,,,,,,,,,,,
409,11,Yea,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,,,,,,,,,,,,
410,15,Nay,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,,,,,,,,,,,,
411,16,Nay,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,,,,,,,,,,,,
412,17,Nay,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,,,,,,,,,,,,
413,5,Yea,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,,,,,,,,,,,,
414,2,Yea,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,,,,,,,,,,,,
415,1,Yea,"Rep. Nancy Mace [R, 2021-2024]",Republican,,,,,,,,,,,,,
416,1,Yea,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,,,,,,,,,,,,
417,4,Yea,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,,,,,,,,,,,,
418,11,Not Voting,"Rep. August Pfluger [R, 2021-2024]",Republican,,,,,,,,,,,,,
419,13,Not Voting,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,,,,,,,,,,,,
420,22,Yea,"Rep. Troy Nehls [R, 2021-2024]",Republican,,,,,,,,,,,,,
421,23,Yea,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,,,,,,,,,,,,
422,24,Yea,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,,,,,,,,,,,,
423,1,Yea,"Rep. Blake Moore [R, 2021-2024]",Republican,,,,,,,,,,,,,
424,4,Yea,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,,,,,,,,,,,,
425,5,Not Voting,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,,,,,,,,,,,,
426,10,Nay,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,,,,,,,,,,,,
427,5,Yea,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,,,,,,,,,,,,
428,5,Yea,"Rep. Julia Letlow [R, 2021-2024]",Republican,,,,,,,,,,,,,
429,2,Nay,"Rep. Troy Carter [D, 2021-2024]",Democrat,,,,,,,,,,,,,
430,1,Nay,"Rep. Melanie Stansbury [D, 2021-2024]",Democrat,,,,,,,,,,,,,
