id,vote,name,party, 33, 34, 36, 37, 40, 42, 46, 47, 48, 49, 50, 52, 56, 57, 59, 60, 61, 64, 65, 69, 74, 75
142,4,Aye,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
143,4,Not Voting,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
144,7,No,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
145,6,Aye,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
146,7,Aye,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
147,16,Aye,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
148,1,Aye,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,,,,,,,,,
149,3,No,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
150,3,Aye,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
151,4,Aye,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
152,9,No,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
153,3,Aye,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
154,1,Not Voting,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
155,2,Aye,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
156,1,Aye,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
157,4,No,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
158,1,Aye,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
159,10,Aye,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
160,1,No,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
161,2,Aye,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
162,7,Aye,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
163,15,Aye,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
164,21,Aye,"Rep. David Valadao [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
165,26,Aye,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
166,29,Aye,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
167,36,Aye,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
168,41,Aye,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
169,47,Aye,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
170,51,Aye,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
171,52,Aye,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
172,21,Aye,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
173,10,Aye,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
174,13,Aye,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
175,17,Aye,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
176,2,Aye,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
177,6,No,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
178,5,Aye,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
179,2,Aye,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
180,8,Aye,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
181,2,Aye,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
182,4,Aye,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
183,6,Aye,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
