id,vote,name,party, transportation, educa
377,6,Aye,"Rep. Greg Pence [R, 2019-2024]",Republican,
378,2,Aye,"Rep. Steven Watkins [R, 2019-2020]",Republican,
379,3,Aye,"Rep. Sharice Davids [D, 2019-2024]",Democrat,
380,3,Aye,"Rep. Lori Trahan [D, 2019-2024]",Democrat,
381,7,Aye,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,
382,6,Aye,"Rep. David Trone [D, 2019-2024]",Democrat,
383,8,Aye,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,
384,9,Aye,"Rep. Andy Levin [D, 2019-2022]",Democrat,
385,11,Aye,"Rep. Haley Stevens [D, 2019-2024]",Democrat,
386,13,Aye,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,
387,1,Aye,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,
388,2,Aye,"Rep. Angie Craig [D, 2019-2024]",Democrat,
389,3,Aye,"Rep. Dean Phillips [D, 2019-2024]",Democrat,
390,5,Aye,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,
391,8,Aye,"Rep. Pete Stauber [R, 2019-2024]",Republican,
392,3,Aye,"Rep. Michael Guest [R, 2019-2024]",Republican,
393,0,Aye,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,
394,1,Aye,"Rep. Chris Pappas [D, 2019-2024]",Democrat,
395,2,Aye,"Rep. Jefferson Van Drew [R, 2019-2024]",Democrat,
396,3,Aye,"Rep. Andy Kim [D, 2019-2024]",Democrat,
397,7,Aye,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,
398,11,Aye,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,
399,1,Aye,"Rep. Debra Haaland [D, 2019-2021]",Democrat,
400,2,Aye,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,
401,3,Aye,"Rep. Susie Lee [D, 2019-2024]",Democrat,
402,11,Aye,"Rep. Max Rose [D, 2019-2020]",Democrat,
403,14,Aye,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,
404,19,Aye,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,
405,22,Aye,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,
406,16,Aye,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,
407,5,Aye,"Rep. Kendra Horn [D, 2019-2020]",Democrat,
408,4,Aye,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,
409,6,Aye,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,
410,9,Aye,"Rep. Daniel Meuser [R, 2019-2024]",Republican,
411,13,Aye,"Rep. John Joyce [R, 2019-2024]",Republican,
412,14,Aye,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,
413,1,Aye,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,
414,4,No,"Rep. William Timmons [R, 2019-2024]",Republican,
415,0,Aye,"Rep. Dusty Johnson [R, 2019-2024]",Republican,
416,2,No,"Rep. Tim Burchett [R, 2019-2024]",Republican,
417,6,No,"Rep. John W. Rose [R, 2019-2024]",Republican,
418,7,No,"Rep. Mark E. Green [R, 2019-2024]",Republican,
419,2,Aye,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,
420,3,Aye,"Rep. Van Taylor [R, 2019-2022]",Republican,
421,5,No,"Rep. Lance Gooden [R, 2019-2024]",Republican,
422,6,No,"Rep. Ron Wright [R, 2019-2021]",Republican,
423,7,Aye,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,
424,16,Aye,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,
425,21,No,"Rep. Chip Roy [R, 2019-2024]",Republican,
426,29,Aye,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,
427,32,Aye,"Rep. Colin Allred [D, 2019-2024]",Democrat,
428,4,Aye,"Rep. Ben McAdams [D, 2019-2020]",Democrat,
429,2,Aye,"Rep. Elaine Luria [D, 2019-2022]",Democrat,
430,5,Aye,"Rep. Denver Riggleman [R, 2019-2020]",Republican,
431,6,No,"Rep. Ben Cline [R, 2019-2024]",Republican,
432,7,Aye,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,
433,10,Aye,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,
434,8,Aye,"Rep. Kim Schrier [D, 2019-2024]",Democrat,
435,1,Aye,"Rep. Bryan Steil [R, 2019-2024]",Republican,
436,3,Aye,"Rep. Carol Miller [R, 2019-2022]",Republican,
437,2,Aye,"Rep. Jared Golden [D, 2019-2024]",Democrat,
438,12,Aye,"Rep. Fred Keller [R, 2019-2022]",Republican,
