id,vote,name,party, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
290,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
291,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
292,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
293,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
294,1,Nay,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
295,2,Nay,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
296,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
297,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
298,7,Yea,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
299,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
300,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
301,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
302,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
303,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
304,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
