id,vote,name,party, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
318,3,Yea,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
319,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
320,1,Yea,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
321,11,Nay,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
322,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
323,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
324,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
325,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
326,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
327,8,Not Voting,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
328,0,Nay,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
329,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
330,0,Nay,"Rep. Greg Gianforte [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
331,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
332,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
333,3,Nay,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
334,17,Yea,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
335,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
336,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
337,12,Nay,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
338,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
339,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
340,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
341,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
342,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
343,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
344,21,Yea,"Rep. TJ Cox [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
345,39,Yea,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
346,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
347,48,Yea,"Rep. Harley Rouda [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
348,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
349,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
350,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
351,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
352,6,Nay,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
353,15,Nay,"Rep. Ross Spano [R, 2019-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
354,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
355,26,Yea,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
356,27,Yea,"Rep. Donna Shalala [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
357,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
358,1,Yea,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
359,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
360,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
361,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
362,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
363,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
364,4,Nay,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
365,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
366,2,Nay,"Rep. Steven Watkins [R, 2019-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
367,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
368,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
369,7,Yea,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
370,6,Nay,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
371,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
372,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
373,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
374,13,Yea,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
375,1,Nay,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
376,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
377,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
378,5,Yea,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
379,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
380,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
381,0,Nay,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
382,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
383,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
384,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
385,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
386,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
387,1,Yea,"Rep. Debra Haaland [D, 2019-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
388,2,Yea,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
389,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
390,11,Yea,"Rep. Max Rose [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
391,14,Yea,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
392,19,Yea,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
393,22,Yea,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
394,16,Nay,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
395,5,Yea,"Rep. Kendra Horn [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
396,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
397,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
398,9,Nay,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
399,13,Nay,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
400,14,Nay,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
401,1,Yea,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
402,4,Nay,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
403,0,Nay,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
404,2,Nay,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
405,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
406,7,Nay,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
407,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
408,3,Nay,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
409,5,Nay,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
410,6,Nay,"Rep. Ron Wright [R, 2019-2021]",Republican,,,,,,,,,,,,,,,,,,,,,,,
411,7,Yea,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
412,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
413,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
414,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
415,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
416,4,Nay,"Rep. Ben McAdams [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
417,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
418,5,Nay,"Rep. Denver Riggleman [R, 2019-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
419,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
420,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
421,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
422,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
423,1,Nay,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
424,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
425,2,Nay,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
426,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
427,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
428,3,Nay,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
429,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
430,25,Nay,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
