id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
89,23,Not Voting,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
90,3,Aye,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,,,,,,,,,,,,,,
91,5,Aye,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,,,,,
92,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,,,,,,,,,,,,,
93,26,Aye,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
94,5,No,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,,,,,
95,10,No,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,,,,,
96,1,No,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,,,,,
97,9,Aye,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,,,,,
98,10,No,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,,,,,
99,11,No,"Rep. Michael Conaway [R, 2005-2020]",Republican,,,,,,,,,,,,,,
100,24,No,"Rep. Kenny Marchant [R, 2005-2020]",Republican,,,,,,,,,,,,,,
101,28,Aye,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,,,,,
102,5,No,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,,,,,
103,4,Not Voting,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,,
104,6,Aye,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
105,8,Aye,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
106,9,Aye,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
107,23,No,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,,
108,5,No,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,,
109,7,Aye,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,,
110,2,Aye,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,,
111,14,Aye,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
112,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,,
113,4,Aye,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,,
114,2,Aye,"Rep. David Loebsack [D, 2007-2020]",Democrat,,,,,,,,,,,,,,
115,3,Aye,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,,
116,3,Aye,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,,
117,7,No,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,,
118,3,No,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,,
119,9,Not Voting,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
120,4,No,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,,,,,
121,9,Aye,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,,,,,
122,0,Aye,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,,,,,
123,12,No,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,,,,,
124,1,No,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,,,,,
125,5,No,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,,,,,
126,11,Aye,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
127,7,Aye,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,,,,,
128,14,Aye,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
129,1,No,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,,,,,
130,11,Aye,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,,,,,
131,2,No,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,,,,,
132,4,Aye,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,,,,,
133,50,Not Voting,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican,,,,,,,,,,,,,,
134,2,Aye,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
135,3,No,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,,,,,
136,3,Aye,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat,,,,,,,,,,,,,,
137,4,No,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,,,,,
138,22,No,"Rep. Pete Olson [R, 2009-2020]",Republican,,,,,,,,,,,,,,
139,1,Aye,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,,
140,8,No,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,,
