id,vote,name,party, 8, 9, 10, 13, 17, 18, 21, 22, 23, 24, 27, 28, 29, 31, 33, 39, 58, 61, 64, 65, 70, 72, 78, 83,Unnamed: 29
101,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
102,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
103,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
104,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
105,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
106,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
107,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
108,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
109,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
110,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
111,16,Nay,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
112,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
113,2,Yea,"Rep. David Loebsack [D, 2007-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
114,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
115,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
116,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
117,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
118,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
119,4,Nay,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
120,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
121,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
122,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
123,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
124,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
125,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
126,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
127,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
128,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
129,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
130,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
131,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
132,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
133,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
134,3,Yea,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
135,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
136,22,Nay,"Rep. Pete Olson [R, 2009-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
137,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
138,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
139,1,Nay,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
140,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
141,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
142,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
143,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
