id,vote,name,party, 76, 77, 88, 89, 90, 95, 96, 101, 112, 120, and 124.
301,18,Yea,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,,,,
302,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican,,,,,,,,,,
303,3,Yea,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,,,,
304,8,Nay,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,,,,
305,3,Yea,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,,,,
306,9,Yea,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,,,,
307,1,Yea,"Rep. Roger Marshall [R, 2017-2020]",Republican,,,,,,,,,,
308,3,Yea,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,,,,
309,4,Yea,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,,,,
310,4,Nay,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,,,,
311,8,Nay,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,,,,
312,1,Yea,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,,,,
313,10,Yea,"Rep. Paul Mitchell [I, 2017-2020]",Republican,,,,,,,,,,
314,13,Yea,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,,,,
315,2,Yea,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,,,,
316,5,Nay,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,,,,
317,3,Nay,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,,,,
318,13,Nay,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,,,,
319,1,Nay,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,,,,
320,11,Yea,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,,,,
321,8,Yea,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,,,,
322,15,Nay,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,,,,
323,19,Yea,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,,,,
324,4,Nay,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,,,,
325,7,Nay,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,,,,
326,8,Yea,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,,,,
327,0,Yea,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,,,,
328,4,Yea,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,,,,
329,0,Yea,"Rep. Greg Gianforte [R, 2017-2020]",Republican,,,,,,,,,,
330,5,Yea,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,,,,
331,34,Nay,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,,,,
332,3,Yea,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,,,,
333,17,Nay,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,,,,
334,8,Yea,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,,,,
335,27,Yea,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,,,,
336,12,Yea,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,,,,
337,1,Yea,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,,,,
338,25,Nay,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,,,,
339,5,Nay,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,,,,
340,7,Nay,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,,,,
341,9,Nay,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,,,,
342,10,Nay,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,,,,
343,21,Nay,"Rep. TJ Cox [D, 2019-2020]",Democrat,,,,,,,,,,
344,39,Nay,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,,,,,,,,,,
345,45,Nay,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,,,,
346,48,Nay,"Rep. Harley Rouda [D, 2019-2020]",Democrat,,,,,,,,,,
347,49,Nay,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,,,,
348,2,Nay,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,,,,
349,6,Nay,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,,,,
350,5,Nay,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,,,,
351,6,Yea,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,,,,
352,15,Yea,"Rep. Ross Spano [R, 2019-2020]",Republican,,,,,,,,,,
353,17,Yea,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,,,,
354,26,Nay,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,,,,,,,,,,
355,27,Nay,"Rep. Donna Shalala [D, 2019-2020]",Democrat,,,,,,,,,,
356,6,Nay,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,,,,
357,1,Nay,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,,,,,,,,,,
358,3,Nay,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,,,,
359,1,Yea,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,,,,
360,4,Nay,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,,,,
361,6,Nay,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,,,,
362,14,Nay,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,,,,
363,4,Yea,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,,,,
364,6,Yea,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,,,,
365,2,Yea,"Rep. Steven Watkins [R, 2019-2020]",Republican,,,,,,,,,,
366,3,Nay,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,,,,
367,3,Nay,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,,,,
368,7,Nay,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,,,,
369,6,Nay,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,,,,
370,8,Nay,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,,,,
371,9,Nay,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,,,,
372,11,Nay,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,,,,
373,13,Nay,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,,,,
374,1,Yea,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,,,,,,,,
375,2,Nay,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,,,,
376,3,Nay,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,,,,
377,5,Nay,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,,,,
378,8,Yea,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,,,,
379,3,Yea,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,,,,
380,0,Yea,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,,,,
381,1,Nay,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,,,,
382,2,Yea,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,,,,
383,3,Nay,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,,,,
384,7,Nay,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,,,,
385,11,Nay,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,,,,
386,1,Nay,"Rep. Debra Haaland [D, 2019-2021]",Democrat,,,,,,,,,,
387,2,Nay,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,,,,,,,,,,
388,3,Nay,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,,,,
389,11,Nay,"Rep. Max Rose [D, 2019-2020]",Democrat,,,,,,,,,,
390,14,Nay,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,,,,
391,19,Nay,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,,,,,,,,
392,22,Nay,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,,,,,,,,,,
393,16,Yea,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,,,,
394,5,Nay,"Rep. Kendra Horn [D, 2019-2020]",Democrat,,,,,,,,,,
395,4,Nay,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,,,,
396,6,Nay,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,,,,
397,9,Yea,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,,,,
398,13,Yea,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,,,,
399,14,Yea,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,,,,
400,1,Nay,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,,,,,,,,,,
401,4,Not Voting,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,,,,
402,0,Yea,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,,,,
403,2,Yea,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,,,,
404,6,Yea,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,,,,
405,7,Yea,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,,,,
406,2,Yea,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,,,,
407,3,Yea,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,,,,
408,5,Yea,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,,,,
409,6,Yea,"Rep. Ron Wright [R, 2019-2021]",Republican,,,,,,,,,,
410,7,Nay,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,,,,
411,16,Nay,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,,,,
412,21,Yea,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,,,,
413,29,Nay,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,,,,
414,32,Nay,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,,,,
415,4,Nay,"Rep. Ben McAdams [D, 2019-2020]",Democrat,,,,,,,,,,
416,2,Nay,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,,,,
417,5,Not Voting,"Rep. Denver Riggleman [R, 2019-2020]",Republican,,,,,,,,,,
418,6,Yea,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,,,,
419,7,Nay,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,,,,
420,10,Nay,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,,,,
421,8,Nay,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,,,,
422,1,Yea,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,,,,
423,3,Yea,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,,,,
424,2,Nay,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,,,,
425,12,Yea,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,,,,
426,9,Yea,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,
427,3,Yea,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,
428,7,Yea,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,,,,
429,25,Yea,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,,,,
430,27,Yea,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,,,,
