id,vote,name,party, Food and Drug Administration, Interior, Environment, Military ...
212,17,No,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,
213,2,Aye,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,
214,5,Aye,"Rep. Susan Brooks [R, 2013-2020]",Republican,,,
215,6,Aye,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,
216,4,No,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat,,,
217,5,No,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,
218,2,Aye,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,
219,8,Aye,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,
220,11,Aye,"Rep. Mark Meadows [R, 2013-2020]",Republican,,,
221,2,Aye,"Rep. George Holding [R, 2017-2020]",Republican,,,
222,2,No,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,
223,4,No,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,
224,6,No,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,
225,8,No,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,
226,18,No,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,
227,27,Aye,"Rep. Chris Collins [R, 2013-2019]",Republican,,,
228,2,Aye,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,
229,3,No,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,
230,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican,,,
231,2,Aye,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,
232,10,Aye,"Rep. Scott Perry [R, 2019-2024]",Republican,,,
233,8,No,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,
234,7,Aye,"Rep. Tom Rice [R, 2013-2022]",Republican,,,
235,14,Aye,"Rep. Randy Weber [R, 2013-2024]",Republican,,,
236,20,No,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,
237,25,Aye,"Rep. Roger Williams [R, 2013-2024]",Republican,,,
238,33,No,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,
239,34,No,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,
240,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,
241,6,No,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,
242,10,No,"Rep. Denny Heck [D, 2013-2020]",Democrat,,,
243,2,No,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,
244,2,No,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,
245,8,Aye,"Rep. Jason Smith [R, 2013-2024]",Republican,,,
246,5,No,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,
247,1,Aye,"Rep. Bradley Byrne [R, 2014-2020]",Republican,,,
248,1,No,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,
249,12,No,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,
250,6,Aye,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,
251,2,Aye,"Rep. French Hill [R, 2015-2024]",Republican,,,
252,4,Aye,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,
253,7,No,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,
254,11,No,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,
255,31,No,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,
256,33,No,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,
257,35,No,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,
258,4,Aye,"Rep. Ken Buck [R, 2015-2024]",Republican,,,
259,1,Aye,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,
260,10,Aye,"Rep. Jody Hice [R, 2015-2022]",Republican,,,
261,11,Aye,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,
262,12,Aye,"Rep. Rick Allen [R, 2015-2024]",Republican,,,
263,12,Aye,"Rep. Mike Bost [R, 2015-2024]",Republican,,,
264,5,Not Voting,"Rep. Ralph Abraham [R, 2015-2020]",Republican,,,
265,6,Aye,"Rep. Garret Graves [R, 2015-2024]",Republican,,,
266,6,Not Voting,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,
267,4,Aye,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,
268,12,No,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,
269,14,No,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,
270,6,Aye,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,
271,7,Aye,"Rep. David Rouzer [R, 2015-2024]",Republican,,,
272,12,No,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,
273,1,Aye,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,
274,4,No,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,
275,21,Aye,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,
276,24,Aye,"Rep. John Katko [R, 2015-2022]",Republican,,,
