id,vote,name,party, Food and Drug Administration, Interior, Environment, Military ...
361,26,No,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,,,
362,27,No,"Rep. Donna Shalala [D, 2019-2020]",Democrat,,,
363,6,No,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,
364,1,No,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,,,
365,3,No,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,
366,1,Aye,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,
367,4,No,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,
368,6,No,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,
369,14,No,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,
370,4,Aye,"Rep. James Baird [R, 2019-2024]",Republican,,,
371,6,Aye,"Rep. Greg Pence [R, 2019-2024]",Republican,,,
372,2,Aye,"Rep. Steven Watkins [R, 2019-2020]",Republican,,,
373,3,No,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,
374,3,No,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,
375,7,No,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,
376,6,No,"Rep. David Trone [D, 2019-2024]",Democrat,,,
377,8,Aye,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,
378,9,No,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,
379,11,No,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,
380,13,No,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,
381,1,Aye,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,
382,2,No,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,
383,3,No,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,
384,5,No,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,
385,8,Aye,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,
386,3,Aye,"Rep. Michael Guest [R, 2019-2024]",Republican,,,
387,0,Aye,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,
388,1,No,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,
389,2,Aye,"Rep. Jefferson Van Drew [R, 2019-2024]",Democrat,,,
390,3,No,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,
391,7,No,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,
392,11,No,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,
393,1,No,"Rep. Debra Haaland [D, 2019-2021]",Democrat,,,
394,2,Aye,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,,,
395,3,No,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,
396,11,No,"Rep. Max Rose [D, 2019-2020]",Democrat,,,
397,14,No,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,
398,19,No,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,
399,22,No,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,,,
400,16,Aye,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,
401,5,No,"Rep. Kendra Horn [D, 2019-2020]",Democrat,,,
402,4,No,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,
403,6,No,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,
404,9,Aye,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,
405,13,Aye,"Rep. John Joyce [R, 2019-2024]",Republican,,,
406,14,Aye,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,
407,1,No,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,,,
408,4,Aye,"Rep. William Timmons [R, 2019-2024]",Republican,,,
409,0,Aye,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,
410,2,Aye,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,
411,6,Aye,"Rep. John W. Rose [R, 2019-2024]",Republican,,,
412,7,Aye,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,
413,2,Aye,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,
414,3,Aye,"Rep. Van Taylor [R, 2019-2022]",Republican,,,
415,5,Aye,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,
416,6,Aye,"Rep. Ron Wright [R, 2019-2021]",Republican,,,
417,7,No,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,
418,16,No,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,
419,21,Aye,"Rep. Chip Roy [R, 2019-2024]",Republican,,,
420,29,No,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,
421,32,No,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,
422,4,No,"Rep. Ben McAdams [D, 2019-2020]",Democrat,,,
423,2,Aye,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,
424,5,Aye,"Rep. Denver Riggleman [R, 2019-2020]",Republican,,,
425,6,Aye,"Rep. Ben Cline [R, 2019-2024]",Republican,,,
426,7,Aye,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,
427,10,No,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,
428,8,No,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,
429,1,Aye,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,
430,3,Aye,"Rep. Carol Miller [R, 2019-2022]",Republican,,,
431,2,Aye,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,
432,12,Aye,"Rep. Fred Keller [R, 2019-2022]",Republican,,,
