id,vote,name,party, and for other purpose
242,10,Aye,"Rep. Denny Heck [D, 2013-2020]",Democrat
243,2,Aye,"Rep. Mark Pocan [D, 2013-2024]",Democrat
244,2,Aye,"Rep. Robin Kelly [D, 2013-2024]",Democrat
245,8,No,"Rep. Jason Smith [R, 2013-2024]",Republican
246,5,Aye,"Rep. Katherine Clark [D, 2013-2024]",Democrat
247,1,No,"Rep. Bradley Byrne [R, 2014-2020]",Republican
248,1,Aye,"Rep. Donald Norcross [D, 2014-2024]",Democrat
249,12,Aye,"Rep. Alma Adams [D, 2014-2024]",Democrat
250,6,No,"Rep. Gary Palmer [R, 2015-2024]",Republican
251,2,No,"Rep. French Hill [R, 2015-2024]",Republican
252,4,No,"Rep. Bruce Westerman [R, 2015-2024]",Republican
253,7,Aye,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
254,11,Aye,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
255,31,Aye,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
256,33,Aye,"Rep. Ted Lieu [D, 2015-2022]",Democrat
257,35,Aye,"Rep. Norma Torres [D, 2015-2024]",Democrat
258,4,Not Voting,"Rep. Ken Buck [R, 2015-2024]",Republican
259,1,No,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican
260,10,No,"Rep. Jody Hice [R, 2015-2022]",Republican
261,11,No,"Rep. Barry Loudermilk [R, 2015-2024]",Republican
262,12,No,"Rep. Rick Allen [R, 2015-2024]",Republican
263,12,Not Voting,"Rep. Mike Bost [R, 2015-2024]",Republican
264,5,No,"Rep. Ralph Abraham [R, 2015-2020]",Republican
265,6,No,"Rep. Garret Graves [R, 2015-2024]",Republican
266,6,Aye,"Rep. Seth Moulton [D, 2015-2024]",Democrat
267,4,No,"Rep. John Moolenaar [R, 2015-2022]",Republican
268,12,Aye,"Rep. Debbie Dingell [D, 2015-2022]",Democrat
269,14,Aye,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat
270,6,No,"Rep. Tom Emmer [R, 2015-2024]",Republican
271,7,No,"Rep. David Rouzer [R, 2015-2024]",Republican
